,Reacher-v10_seed_0,Reacher-v20_seed_0,Reacher-v30_seed_0,Reacher-v40_seed_0,Reacher-v50_seed_0,Reacher-v10_seed_1,Reacher-v20_seed_1,Reacher-v30_seed_1,Reacher-v40_seed_1,Reacher-v50_seed_1,Reacher-v10_seed_2,Reacher-v20_seed_2,Reacher-v30_seed_2,Reacher-v40_seed_2,Reacher-v50_seed_2
88,-121.273056,-190.94864,-213.06108,-274.89517,-226.80356,-120.59971,-165.42625,-232.17007,-299.7294,-234.92009,-153.343,-154.91579,-199.37468,-295.3533,-285.80286
89,-110.688965,-180.40074,-225.10475,-263.22855,-247.30026,-130.29471,-186.29727,-193.73785,-212.88734,-233.40312,-111.506226,-159.3115,-163.22655,-296.97717,-243.23167
90,-115.82149,-219.84256,-186.86548,-217.42334,-227.82108,-113.34196,-178.82585,-182.40192,-244.40282,-205.89137,-128.48277,-147.8557,-195.35712,-269.4292,-241.6416
91,-126.9677,-138.32568,-196.87605,-222.4918,-249.06075,-105.591934,-158.04674,-240.75128,-215.12918,-245.07408,-108.39104,-170.3984,-240.09842,-264.92545,-273.93695
92,-130.98387,-147.79132,-210.8013,-210.97186,-219.88985,-137.18483,-154.62442,-219.07483,-240.5839,-256.3175,-144.29361,-152.42067,-277.06113,-197.90422,-247.5045
93,-138.44313,-150.86592,-240.9119,-258.39905,-279.52728,-113.91881,-202.53677,-182.80858,-228.24655,-245.43083,-134.00986,-167.3355,-219.58861,-259.97546,-240.05862
94,-129.53897,-130.27806,-247.51976,-198.83508,-248.96246,-95.60935,-160.32043,-216.6036,-287.38794,-251.64037,-135.29817,-149.27742,-218.57217,-256.93863,-253.85867
95,-119.58941,-176.10771,-317.17023,-238.4473,-226.5805,-109.335396,-159.31969,-216.6351,-203.42172,-283.5518,-99.99654,-178.5657,-245.24583,-203.82051,-254.48718
96,-117.65165,-157.51137,-165.50188,-206.04074,-280.523,-129.43324,-154.11856,-215.50046,-201.0646,-212.6748,-135.65305,-140.62544,-202.2656,-215.79185,-286.89423
97,-110.538574,-138.33594,-235.55354,-272.79623,-205.18375,-147.84297,-181.64526,-261.74103,-217.94116,-257.87967,-138.214,-155.10417,-180.45297,-251.87654,-253.6867
98,-127.65953,-166.11255,-220.74554,-255.86479,-204.66125,-112.42874,-166.34877,-182.52087,-242.80428,-220.1695,-132.87816,-182.32144,-311.80585,-228.40228,-276.88824
99,-118.91299,-170.45712,-197.09938,-255.54126,-287.05264,-117.18635,-137.97366,-240.15305,-256.93225,-300.27,-120.23726,-205.36232,-178.37791,-258.291,-201.16179
100,-84.49146,-150.02904,-217.92537,-300.36612,-248.3611,-94.72022,-159.85408,-229.08022,-217.71938,-238.7181,-135.19418,-136.88121,-189.27002,-199.28935,-263.12518
101,-118.99559,-148.77716,-273.1863,-290.16083,-241.8819,-108.07551,-152.23549,-175.08159,-243.70354,-296.94003,-131.01576,-165.91225,-309.1131,-326.28824,-210.96788
102,-80.551765,-134.04485,-216.45963,-221.85223,-178.49303,-131.69019,-134.43442,-193.3835,-220.14195,-260.01627,-111.764175,-148.66756,-212.7767,-241.15746,-243.4174
103,-112.593414,-143.73428,-197.73158,-241.58849,-233.61856,-126.40819,-193.20116,-297.28064,-223.37862,-226.47504,-101.59556,-152.97528,-220.59984,-244.60304,-240.66019
104,-102.712105,-153.51086,-257.11435,-224.51186,-279.7892,-135.28284,-156.7304,-178.63524,-198.34798,-268.73395,-111.65006,-141.2817,-201.55717,-262.004,-208.40349
105,-118.88352,-173.92992,-231.29466,-237.9082,-301.3473,-103.77051,-201.75684,-189.73651,-225.08508,-220.74863,-118.761826,-140.16588,-214.7431,-214.84671,-277.5079
106,-111.018326,-160.32314,-197.69806,-226.83313,-271.88995,-119.95644,-143.19568,-199.50185,-220.86153,-279.96698,-134.64471,-189.04463,-197.724,-233.54596,-247.96024
107,-102.80279,-159.9313,-237.58415,-204.23296,-237.74376,-97.15701,-148.53046,-152.77254,-226.03429,-212.19867,-141.97353,-168.8408,-184.10973,-247.71758,-245.21437
108,-94.68785,-190.73245,-228.54568,-270.10416,-280.48172,-114.83869,-153.69058,-170.52138,-198.06651,-299.07355,-108.862854,-166.53372,-309.97028,-219.48659,-238.80742
109,-127.08771,-130.4518,-250.59296,-272.33353,-194.07349,-127.60811,-131.96945,-156.85025,-238.66705,-238.59842,-138.46037,-170.2844,-202.21086,-289.56702,-282.10574
110,-107.97225,-156.09363,-195.5758,-222.53624,-212.70943,-102.93602,-152.51869,-223.47551,-250.71371,-319.78638,-128.97359,-233.68852,-300.0515,-248.56068,-276.72122
111,-109.09361,-122.86896,-245.19601,-230.18979,-230.91075,-94.6697,-152.93846,-226.82788,-238.77629,-274.33154,-95.29135,-172.6961,-279.03018,-259.99872,-339.01633
112,-131.53142,-189.26451,-210.05942,-244.38869,-237.05223,-112.87056,-146.38596,-222.94617,-210.64053,-215.23647,-119.164276,-132.26828,-188.74931,-212.96623,-255.63351
113,-124.03916,-135.81853,-160.27618,-226.90407,-240.38086,-116.81865,-174.23242,-250.01837,-170.34282,-318.96664,-104.213844,-159.11455,-212.48854,-242.20676,-226.03928
114,-119.38363,-140.18552,-158.70985,-260.73755,-211.14677,-113.96284,-126.37622,-170.36812,-237.52808,-258.85477,-134.35373,-174.35744,-190.02568,-196.07912,-241.17052
115,-123.462364,-144.56671,-232.38293,-215.88739,-245.32997,-140.66855,-163.28075,-186.092,-201.634,-256.98294,-137.75227,-182.51721,-209.85423,-225.39648,-280.33606
116,-90.347595,-177.9807,-200.70926,-249.96141,-252.44913,-97.86449,-203.79305,-212.61787,-214.66052,-239.67953,-118.877014,-227.6339,-255.9806,-259.3649,-321.43533
117,-121.32529,-154.7311,-215.69664,-268.15628,-279.27878,-85.475464,-122.930046,-151.82433,-238.43004,-247.747,-111.14837,-186.42015,-217.78592,-208.15305,-238.82718
118,-117.690544,-125.78221,-186.75563,-235.05638,-218.81879,-101.120636,-143.82246,-174.10548,-191.78271,-214.30302,-210.94356,-128.1561,-160.85402,-217.80438,-231.63371
119,-93.162415,-158.82323,-201.56308,-175.53603,-207.85007,-132.8574,-146.35487,-196.06955,-187.0004,-199.76776,-169.1895,-198.9509,-168.06375,-194.73605,-292.43164
120,-103.288376,-171.58592,-288.48636,-204.15196,-219.58012,-83.81124,-181.84196,-226.70166,-254.492,-233.54182,-103.91312,-218.24095,-281.0853,-191.16145,-217.60501
121,-111.0203,-128.86046,-187.23093,-248.559,-256.97107,-108.67381,-183.0559,-160.31598,-265.39764,-221.4138,-131.13895,-150.39886,-192.16933,-272.74704,-194.08371
