,Reacher-v11_seed_0,Reacher-v12_seed_0,Reacher-v21_seed_0,Reacher-v22_seed_0,Reacher-v31_seed_0,Reacher-v32_seed_0,Reacher-v41_seed_0,Reacher-v42_seed_0,Reacher-v51_seed_0,Reacher-v52_seed_0,Reacher-v60_seed_0,Reacher-v61_seed_0,Reacher-v62_seed_0,Reacher-v11_seed_1,Reacher-v12_seed_1,Reacher-v21_seed_1,Reacher-v22_seed_1,Reacher-v31_seed_1,Reacher-v32_seed_1,Reacher-v41_seed_1,Reacher-v42_seed_1,Reacher-v51_seed_1,Reacher-v52_seed_1,Reacher-v60_seed_1,Reacher-v61_seed_1,Reacher-v62_seed_1,Reacher-v11_seed_2,Reacher-v12_seed_2,Reacher-v21_seed_2,Reacher-v22_seed_2,Reacher-v31_seed_2,Reacher-v32_seed_2,Reacher-v41_seed_2,Reacher-v42_seed_2,Reacher-v51_seed_2,Reacher-v52_seed_2,Reacher-v60_seed_2,Reacher-v61_seed_2,Reacher-v62_seed_2
387,-385.01044,-383.5124,-384.00702,-433.86197,-443.12,-444.14612,-441.69318,-434.1782,-507.07144,-521.4174,-500.2584,-486.02078,-536.5614,-390.00775,-328.33136,-333.24936,-392.0453,-410.3526,-431.32928,-468.0074,-433.8311,-409.1482,-468.72528,-460.4001,-444.46588,-518.8538,-458.17114,-496.15375,-483.32745,-497.08765,-469.72723,-548.02026,-510.86438,-537.1991,-561.073,-561.358,-491.59717,-563.3525,-513.8263
388,-369.16235,-406.15073,-422.60254,-355.09097,-411.66818,-475.96274,-455.22458,-452.9878,-481.05103,-482.02164,-499.63388,-490.87653,-496.0034,-406.56134,-370.9263,-385.32217,-357.45627,-387.46463,-475.14813,-432.94775,-435.99063,-511.16248,-438.35956,-549.31305,-421.88217,-554.93066,-496.93607,-454.85593,-513.4782,-445.09216,-490.55692,-449.73654,-500.61774,-488.7886,-538.2709,-517.6899,-494.9257,-528.49084,-525.7689
389,-410.43457,-346.88828,-443.98636,-449.00046,-432.656,-396.19382,-431.0547,-463.3593,-532.7347,-506.77005,-506.56107,-496.0948,-519.3222,-358.19315,-325.226,-368.116,-358.116,-401.19098,-409.78476,-423.2066,-395.85144,-418.03143,-408.97562,-499.17505,-456.98465,-442.8844,-471.616,-477.83316,-427.98703,-425.92426,-473.99326,-479.3031,-455.80707,-501.10425,-513.92224,-540.57916,-517.6344,-501.09424,-588.6999
390,-423.81064,-359.53937,-405.3999,-430.75555,-429.8799,-407.32968,-452.88293,-467.25433,-486.75006,-426.40146,-441.50928,-501.76648,-500.5648,-327.96295,-316.30884,-396.49826,-368.7293,-370.27347,-380.27637,-379.92255,-434.95633,-442.99817,-437.70825,-497.686,-426.76572,-439.0837,-451.92972,-501.73706,-457.02515,-475.53317,-443.23322,-532.91296,-517.19464,-503.8176,-507.91797,-534.5386,-552.8343,-494.55225,-519.18915
391,-369.3954,-360.04688,-410.49673,-405.0797,-499.7786,-426.85376,-530.74176,-439.24313,-447.69897,-470.9837,-538.90204,-452.90674,-531.0476,-381.34067,-353.72357,-365.89014,-395.8758,-366.67432,-402.027,-407.92413,-464.78864,-441.90344,-490.33588,-433.55032,-474.92444,-447.12903,-434.76407,-414.84827,-529.2364,-415.99954,-469.12793,-502.19858,-524.9997,-492.4231,-590.8137,-537.5069,-543.251,-509.96155,-552.3469
392,-425.4798,-369.89636,-414.64746,-418.27762,-395.413,-440.8423,-450.00043,-413.13107,-448.5876,-453.24554,-547.8779,-485.59647,-497.05792,-368.36636,-385.16415,-360.29874,-408.043,-390.19095,-441.6058,-439.8364,-407.16013,-428.52194,-452.16147,-511.95505,-400.89185,-514.47833,-509.8916,-506.88998,-474.9097,-490.2602,-467.82394,-483.14056,-480.0855,-536.0976,-565.5513,-550.2383,-619.09106,-491.31345,-532.22974
393,-341.85757,-351.4362,-424.5804,-373.79108,-468.3785,-422.04407,-430.18216,-474.6118,-485.62973,-503.18655,-430.541,-484.5948,-496.72504,-387.95865,-383.6257,-366.79318,-388.72003,-396.56693,-388.62,-458.30038,-398.23862,-440.82886,-451.9107,-483.2828,-431.23404,-517.81323,-436.34305,-451.90125,-455.1029,-467.22482,-430.80167,-500.5414,-481.88358,-486.22552,-587.6753,-565.3406,-625.33154,-544.746,-624.1764
394,-402.0905,-341.2395,-426.38876,-426.10568,-462.93402,-457.93887,-439.76202,-465.1291,-503.08478,-535.59436,-429.8428,-506.23935,-450.31082,-399.07413,-366.5964,-354.10645,-398.94766,-411.90756,-379.61813,-419.61874,-433.7895,-473.99036,-494.16483,-516.6859,-445.38397,-492.41025,-504.90613,-450.98315,-441.90482,-439.29196,-447.15277,-498.54193,-552.4204,-505.1404,-497.83487,-600.2231,-492.69208,-504.42285,-523.5849
395,-374.5413,-368.92456,-354.6001,-458.9662,-425.15527,-446.42654,-406.23206,-444.96997,-469.52682,-468.62576,-534.4924,-480.68628,-505.35498,-361.8214,-304.14508,-345.12048,-385.74567,-410.16763,-428.19922,-405.0292,-412.7423,-450.91568,-476.30884,-490.43414,-437.4641,-500.9239,-501.61826,-475.26883,-460.346,-488.93405,-463.76385,-464.39056,-485.0921,-565.8832,-598.2035,-538.43933,-630.17456,-516.8631,-582.0534
396,-388.85153,-351.01276,-400.26147,-352.94296,-411.2,-411.2228,-457.13776,-483.56464,-496.83945,-524.9494,-469.0965,-468.69745,-490.28873,-355.09015,-385.6927,-356.29663,-395.86307,-453.63806,-468.78998,-411.3167,-429.0753,-428.66888,-446.60532,-444.01215,-409.7792,-492.63538,-509.3971,-428.30762,-477.4619,-443.41095,-496.6531,-487.4535,-523.1192,-494.90634,-546.29004,-551.97864,-559.0663,-579.89056,-571.10565
