,Reacher-v10_seed_0,Reacher-v20_seed_0,Reacher-v30_seed_0,Reacher-v40_seed_0,Reacher-v50_seed_0,Reacher-v10_seed_1,Reacher-v20_seed_1,Reacher-v30_seed_1,Reacher-v40_seed_1,Reacher-v50_seed_1,Reacher-v10_seed_2,Reacher-v20_seed_2,Reacher-v30_seed_2,Reacher-v40_seed_2,Reacher-v50_seed_2
94,-126.26585,-173.68411,-234.7721,-213.24718,-223.84158,-135.8103,-190.71829,-183.71216,-255.95517,-249.97015,-133.6772,-146.66882,-219.99178,-201.14941,-247.41164
95,-119.71488,-158.52249,-293.85126,-206.90787,-218.32776,-140.92503,-217.98094,-180.32632,-231.06151,-312.4601,-123.573784,-177.75507,-205.341,-202.25922,-246.21954
96,-128.4086,-182.69347,-210.88985,-264.99985,-230.07104,-158.44164,-169.44926,-259.0535,-225.6559,-292.6837,-139.87277,-186.11737,-173.52484,-243.53453,-265.14984
97,-124.59655,-150.21294,-231.52414,-248.79431,-247.05827,-141.6322,-219.0636,-258.5152,-249.0401,-322.11404,-134.32668,-133.40727,-178.54002,-195.51547,-211.72977
98,-121.73463,-178.66708,-175.46292,-196.3186,-248.51587,-129.18669,-217.76903,-206.13168,-215.30142,-268.408,-135.40459,-186.79774,-274.0977,-229.1477,-269.31448
99,-129.31125,-140.40038,-240.44485,-262.84268,-250.40077,-168.82292,-153.14381,-245.54422,-217.76675,-313.48703,-140.63661,-176.34053,-199.48273,-214.50935,-262.00928
100,-122.63838,-161.76114,-180.65503,-257.05408,-238.93463,-146.10242,-199.56075,-229.24464,-237.52808,-287.39148,-125.184906,-162.15405,-186.95468,-195.035,-220.66649
101,-122.51522,-152.15335,-282.87952,-267.7326,-260.2953,-156.17476,-218.16507,-191.13516,-244.14561,-343.28592,-134.48451,-116.6519,-252.97269,-296.86542,-198.29713
102,-125.29483,-130.49507,-239.13087,-212.74315,-223.40248,-144.90575,-181.86296,-206.75223,-250.58972,-334.68317,-138.09291,-154.21028,-172.13353,-228.62138,-233.85413
103,-111.24351,-145.67567,-213.84161,-275.1353,-225.04247,-152.81795,-207.25085,-274.23254,-229.51927,-305.8481,-138.98598,-149.63426,-250.16179,-219.99223,-255.0031
104,-122.51628,-153.73752,-231.8533,-246.59294,-233.8002,-148.16132,-163.94962,-208.18997,-230.69348,-330.5121,-147.14546,-178.25293,-211.58943,-277.82324,-248.08174
105,-126.27939,-172.10498,-182.20831,-261.30325,-237.22748,-152.26111,-204.34299,-237.06245,-282.45596,-322.91046,-134.91312,-155.12125,-183.64342,-236.5123,-267.2469
106,-135.69777,-175.24611,-197.78958,-208.61446,-233.14925,-150.97345,-155.64972,-209.21391,-261.4485,-368.0852,-147.62872,-187.63275,-176.89775,-238.9282,-299.1031
107,-125.64994,-162.16876,-190.24255,-194.78302,-205.20522,-144.03232,-181.7102,-176.38347,-258.38715,-316.60025,-143.58624,-181.11285,-221.99895,-238.39159,-247.12485
108,-115.974976,-169.72377,-208.2427,-243.00044,-265.31818,-138.14279,-201.0079,-209.1195,-219.95903,-379.58414,-129.62953,-204.29312,-251.48177,-201.46178,-213.29128
109,-103.4732,-155.62163,-255.28732,-241.22603,-219.63905,-145.25635,-201.06136,-194.69925,-249.36992,-320.96786,-140.48677,-180.7157,-198.61848,-224.12514,-255.03015
110,-111.63079,-171.00342,-193.25278,-219.49362,-201.97253,-148.31271,-192.93146,-211.04889,-256.40054,-368.4028,-142.69417,-178.13292,-248.01402,-229.3661,-218.46474
111,-114.889854,-120.24427,-273.8904,-219.3425,-224.15062,-159.7737,-174.53719,-218.58525,-277.0541,-388.57578,-132.3746,-165.61829,-238.09497,-218.73848,-311.50626
112,-126.72796,-165.4448,-222.39482,-222.43983,-211.82076,-157.94485,-187.30727,-239.27837,-257.32828,-328.82263,-140.46225,-151.24924,-199.48941,-238.05028,-248.66016
113,-123.90444,-134.97293,-187.36867,-217.01945,-260.12292,-142.89087,-223.39197,-231.52843,-210.80637,-370.62247,-138.4789,-163.18811,-170.65091,-228.61783,-220.34723
114,-132.302,-188.82402,-171.77016,-262.55276,-242.94894,-167.91446,-175.83287,-227.42221,-256.32434,-319.3457,-143.90448,-149.1679,-166.83575,-202.21771,-266.91528
115,-130.14923,-173.35497,-241.71236,-192.30804,-230.87782,-172.99556,-213.80667,-226.38054,-256.32135,-353.50085,-140.26988,-144.95476,-205.2938,-223.58679,-257.43146
